perf_id,client_id,client_name,security_id,ticker,security_name,portfolio_id,performance_date,period,portfolio_return,benchmark_return,benchmark_name,alpha,sharpe_ratio,volatility,region,currency,validated,data_complete
PERF-00001,CLT0011,BlackRock India Fund,INE154A01025,ITC,ITC Ltd,PORT-001,2024-09-26,YTD,0.173,0.1411,NIFTY FMCG,0.0319,-0.486,0.0769,Americas,INR,True,True
PERF-00002,CLT0001,Tata Investment Corp,INE154A01025,ITC,ITC Ltd,PORT-047,2024-09-06,1Y,0.1155,0.0508,NIFTY FMCG,0.0647,0.522,0.141,APAC,INR,True,True
PERF-00003,CLT0011,BlackRock India Fund,INE213A01029,MARUTI,Maruti Suzuki India Ltd,PORT-050,2024-05-01,1Y,0.0302,0.0481,NIFTY Auto,-0.0179,0.325,0.2479,Americas,INR,True,True
PERF-00004,CLT0012,Vanguard Emerging Markets,INE414G01012,ADANIENT,Adani Enterprises Ltd,PORT-021,2024-07-07,1M,-0.1176,-0.0292,NIFTY 500,-0.0884,2.097,0.1784,Americas,INR,True,True
PERF-00005,CLT0011,BlackRock India Fund,INE154A01025,ITC,ITC Ltd,PORT-026,2024-10-01,3M,0.2038,-0.0098,NIFTY FMCG,0.2136,-0.375,0.2334,Americas,INR,True,True
PERF-00006,CLT0001,Tata Investment Corp,INE031A01017,POWERGRID,Power Grid Corp of India,PORT-025,2024-10-21,1D,0.2299,0.1754,NIFTY Infrastructure,0.0545,1.623,0.1621,APAC,INR,True,True
PERF-00007,CLT0005,Kotak Mahindra AMC,INE467B01029,TCS,Tata Consultancy Services,PORT-020,2024-02-19,1D,0.0676,0.1605,NIFTY IT,-0.0929,-0.298,0.3361,APAC,INR,False,True
PERF-00008,CLT0006,LIC of India,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,PORT-018,2024-08-10,1Y,-0.1469,-0.025,NIFTY Media,-0.1219,0.452,0.3076,APAC,INR,False,True
PERF-00009,CLT0014,Temasek Holdings,INE031A01017,POWERGRID,Power Grid Corp of India,PORT-049,2024-08-27,1D,0.233,0.0082,NIFTY Infrastructure,0.2248,0.062,0.1375,APAC,INR,True,True
PERF-00010,CLT0013,GIC Private Ltd Singapore,INE009A01021,INFY,Infosys Ltd,PORT-019,2024-12-23,1D,,-0.0464,NIFTY IT,,,0.2387,APAC,INR,True,False
PERF-00011,CLT0007,ICICI Prudential AMC,INE020B01018,NTPC,NTPC Ltd,PORT-007,2024-03-25,1W,0.0874,0.1431,NIFTY Infrastructure,-0.0557,2.109,0.1877,APAC,INR,True,True
PERF-00012,CLT0010,Abu Dhabi Investment Auth,INE040A01034,HDFCBANK,HDFC Bank Ltd,PORT-009,2024-06-02,1M,,-0.0478,NIFTY Bank,,,0.3395,EMEA,INR,False,False
PERF-00013,CLT0009,Emirates NBD Asset Mgmt,INE018A01030,LARSEN,Larsen & Toubro Ltd,PORT-014,2024-11-30,1M,-0.0062,0.0367,NIFTY Infrastructure,-0.0429,-0.114,0.2646,EMEA,INR,False,True
PERF-00014,CLT0004,HDFC Pension Fund,INE154A01025,ITC,ITC Ltd,PORT-007,2024-01-21,1Y,0.137,0.0371,NIFTY FMCG,0.0999,0.242,0.2707,APAC,INR,True,True
PERF-00015,CLT0005,Kotak Mahindra AMC,INE414G01012,ADANIENT,Adani Enterprises Ltd,PORT-014,2024-10-22,1Y,0.0489,0.173,NIFTY 500,-0.1241,2.534,0.2548,APAC,INR,False,True
PERF-00016,CLT0006,LIC of India,INE075A01022,WIPRO,Wipro Ltd,PORT-041,2024-09-30,1Y,-0.0225,-0.0259,NIFTY IT,0.0034,1.664,0.1522,APAC,INR,True,True
PERF-00017,CLT0005,Kotak Mahindra AMC,INE467B01029,TCS,Tata Consultancy Services,PORT-032,2024-05-07,1W,0.0184,-0.0838,NIFTY IT,0.1022,2.615,0.1206,APAC,INR,False,True
PERF-00018,CLT0005,Kotak Mahindra AMC,INE038A01020,HINDALCO,Hindalco Industries Ltd,PORT-017,2024-10-12,1Y,0.1527,0.1192,NIFTY Metal,0.0335,-0.084,0.3327,APAC,INR,True,True
PERF-00019,CLT0006,LIC of India,INE154A01025,ITC,ITC Ltd,PORT-044,2025-01-17,3M,0.1733,0.1071,NIFTY FMCG,0.0662,1.526,0.1245,APAC,INR,True,True
PERF-00020,CLT0010,Abu Dhabi Investment Auth,INE020B01018,NTPC,NTPC Ltd,PORT-002,2024-12-15,6M,-0.1305,-0.0021,NIFTY Infrastructure,-0.1284,1.41,0.3104,EMEA,INR,True,True
PERF-00021,CLT0009,Emirates NBD Asset Mgmt,INE001A01036,SBIN,State Bank of India,PORT-046,2024-05-27,1Y,-0.0171,0.0042,NIFTY Bank,-0.0213,1.759,0.3407,EMEA,INR,True,True
PERF-00022,CLT0004,HDFC Pension Fund,INE066A01021,ONGC,Oil & Natural Gas Corp,PORT-027,2024-09-04,1Y,-0.1316,0.1599,NIFTY Energy,-0.2915,1.258,0.0685,APAC,INR,True,True
PERF-00023,CLT0009,Emirates NBD Asset Mgmt,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,PORT-034,2024-04-30,1W,0.2139,-0.0837,NIFTY Media,0.2976,0.468,0.3497,EMEA,INR,True,True
PERF-00024,CLT0006,LIC of India,INE066A01021,ONGC,Oil & Natural Gas Corp,PORT-018,2024-05-14,1W,0.1038,0.103,NIFTY Energy,0.0008,2.599,0.2268,APAC,INR,True,True
PERF-00025,CLT0007,ICICI Prudential AMC,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,PORT-010,2024-10-21,1D,-0.0521,0.0632,NIFTY Financial Services,-0.1153,-0.069,0.1306,APAC,INR,True,True
PERF-00026,CLT0009,Emirates NBD Asset Mgmt,INE031A01017,POWERGRID,Power Grid Corp of India,PORT-019,2024-01-22,3M,0.1012,0.1501,NIFTY Infrastructure,-0.0489,-0.408,0.1578,EMEA,INR,False,True
PERF-00027,CLT0004,HDFC Pension Fund,INE031A01017,POWERGRID,Power Grid Corp of India,PORT-013,2024-01-11,1M,0.0981,0.0232,NIFTY Infrastructure,0.0749,1.612,0.1746,APAC,INR,False,True
PERF-00028,CLT0012,Vanguard Emerging Markets,INE066A01021,ONGC,Oil & Natural Gas Corp,PORT-037,2024-06-14,1D,0.0472,0.189,NIFTY Energy,-0.1418,0.413,0.1509,Americas,INR,True,True
PERF-00029,CLT0003,SBI Life Insurance,INE213A01029,MARUTI,Maruti Suzuki India Ltd,PORT-014,2025-02-16,1D,-0.0612,-0.0758,NIFTY Auto,0.0146,1.943,0.2558,APAC,INR,True,True
PERF-00030,CLT0002,Aditya Birla Capital,INE361B01024,HCLTECH,HCL Technologies Ltd,PORT-032,2024-03-01,3M,0.1228,0.1996,NIFTY IT,-0.0768,0.169,0.268,APAC,INR,False,True
PERF-00031,CLT0001,Tata Investment Corp,INE361B01024,HCLTECH,HCL Technologies Ltd,PORT-036,2025-03-30,6M,-0.1366,0.0338,NIFTY IT,-0.1704,2.245,0.205,APAC,INR,False,True
PERF-00032,CLT0009,Emirates NBD Asset Mgmt,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,PORT-027,2025-01-31,YTD,0.2195,0.1751,NIFTY Media,0.0444,0.849,0.179,EMEA,INR,True,True
