exception_id,dataset,exception_type,severity,status,client_id,client_name,region,raised_date,raised_time,sla_deadline,sla_breached,resolved_date,assigned_to,description,root_cause,priority
EXC-2024-0001,Trades,Schema Mismatch,Low,Resolved,CLT0003,SBI Life Insurance,APAC,2025-01-20,08:29,2025-01-20 04:00,True,,Data Ops,Schema Mismatch detected in Trades for SBI Life Insurance,Feed Failure,P3
EXC-2024-0002,Trades,Missing Performance,Low,Closed,CLT0007,ICICI Prudential AMC,APAC,2025-01-21,16:45,2025-01-21 04:00,True,2025-01-22,IT Support,Missing Performance detected in Trades for ICICI Prudential AMC,Config Error,P2
EXC-2024-0003,Trades,Missing Performance,Low,In Progress,CLT0015,Norges Bank Investment Mgmt,EMEA,2024-09-29,18:39,2024-09-29 08:00,True,2024-10-04,Data Ops,Missing Performance detected in Trades for Norges Bank Investment Mgmt,Vendor Issue,P1
EXC-2024-0004,Performance,Missing Performance,Medium,In Progress,CLT0004,HDFC Pension Fund,APAC,2024-11-21,09:12,2024-11-21 08:00,True,2024-11-26,Recon Team,Missing Performance detected in Performance for HDFC Pension Fund,Config Error,P2
EXC-2024-0005,Trades,Duplicate Trade,Low,In Progress,CLT0002,Aditya Birla Capital,APAC,2024-06-13,15:54,2024-06-13 04:00,True,2024-06-14,Client Services,Duplicate Trade detected in Trades for Aditya Birla Capital,Manual Error,P1
EXC-2024-0006,Share Prices,Recon Break,Medium,In Progress,CLT0004,HDFC Pension Fund,APAC,2024-10-28,16:48,2024-10-29 00:00,True,,IT Support,Recon Break detected in Share Prices for HDFC Pension Fund,Feed Failure,P1
EXC-2024-0007,Performance,Missing ISIN,Medium,Resolved,CLT0006,LIC of India,APAC,2025-01-24,09:04,2025-01-25 00:00,True,2025-01-25,Data Ops,Missing ISIN detected in Performance for LIC of India,Vendor Issue,P2
EXC-2024-0008,Client Data,Missing Performance,Medium,Resolved,CLT0014,Temasek Holdings,APAC,2025-05-17,17:06,2025-05-17 04:00,True,2025-05-19,Data Ops,Missing Performance detected in Client Data for Temasek Holdings,System Lag,P2
EXC-2024-0009,Performance,Missing Performance,Medium,Open,CLT0002,Aditya Birla Capital,APAC,2024-10-15,09:21,2024-10-15 08:00,True,2024-10-18,Data Ops,Missing Performance detected in Performance for Aditya Birla Capital,Manual Error,P1
EXC-2024-0010,Share Prices,Schema Mismatch,High,Resolved,CLT0015,Norges Bank Investment Mgmt,EMEA,2024-11-22,08:21,2024-11-24 00:00,True,,Data Ops,Schema Mismatch detected in Share Prices for Norges Bank Investment Mgmt,Config Error,P2
EXC-2024-0011,Share Prices,KYC Expired,Medium,In Progress,CLT0015,Norges Bank Investment Mgmt,EMEA,2024-08-08,14:34,2024-08-10 00:00,True,2024-08-09,Data Ops,KYC Expired detected in Share Prices for Norges Bank Investment Mgmt,Vendor Issue,P2
EXC-2024-0012,Client Data,Missing Price,Medium,Resolved,CLT0007,ICICI Prudential AMC,APAC,2024-08-30,10:56,2024-09-01 00:00,True,2024-09-03,Client Services,Missing Price detected in Client Data for ICICI Prudential AMC,System Lag,P1
EXC-2024-0013,Client Data,Missing Broker,Low,In Progress,CLT0008,Nippon India MF,APAC,2025-04-04,14:51,2025-04-05 00:00,True,2025-04-05,IT Support,Missing Broker detected in Client Data for Nippon India MF,Config Error,P1
EXC-2024-0014,Securities Reference,Stale Data,Medium,In Progress,CLT0009,Emirates NBD Asset Mgmt,EMEA,2024-06-10,16:43,2024-06-11 00:00,True,2024-06-12,Data Ops,Stale Data detected in Securities Reference for Emirates NBD Asset Mgmt,Manual Error,P1
EXC-2024-0015,Securities Reference,Invalid Quantity,Medium,Open,CLT0006,LIC of India,APAC,2024-06-27,10:52,2024-06-27 04:00,True,2024-06-30,Client Services,Invalid Quantity detected in Securities Reference for LIC of India,Feed Failure,P1
EXC-2024-0016,Share Prices,Stale Data,Low,In Progress,CLT0009,Emirates NBD Asset Mgmt,EMEA,2024-10-22,17:31,2024-10-24 00:00,True,,Data Ops,Stale Data detected in Share Prices for Emirates NBD Asset Mgmt,Vendor Issue,P1
EXC-2024-0017,Performance,Invalid Quantity,High,Closed,CLT0007,ICICI Prudential AMC,APAC,2025-01-16,09:45,2025-01-16 08:00,True,,Client Services,Invalid Quantity detected in Performance for ICICI Prudential AMC,System Lag,P3
EXC-2024-0018,Share Prices,Invalid Quantity,High,Open,CLT0008,Nippon India MF,APAC,2024-11-29,15:14,2024-11-29 04:00,True,,Data Ops,Invalid Quantity detected in Share Prices for Nippon India MF,Vendor Issue,P1
EXC-2024-0019,Share Prices,Stale Data,Low,Open,CLT0005,Kotak Mahindra AMC,APAC,2025-02-12,15:48,2025-02-12 04:00,True,,Client Services,Stale Data detected in Share Prices for Kotak Mahindra AMC,Vendor Issue,P2
EXC-2024-0020,Client Data,Stale Data,Medium,Resolved,CLT0013,GIC Private Ltd Singapore,APAC,2024-08-28,11:57,2024-08-30 00:00,True,,Recon Team,Stale Data detected in Client Data for GIC Private Ltd Singapore,Vendor Issue,P1
EXC-2024-0021,Performance,Missing Performance,High,Open,CLT0015,Norges Bank Investment Mgmt,EMEA,2024-11-27,16:55,2024-11-28 00:00,True,,Data Ops,Missing Performance detected in Performance for Norges Bank Investment Mgmt,Config Error,P2
EXC-2024-0022,Securities Reference,Invalid Quantity,High,In Progress,CLT0008,Nippon India MF,APAC,2024-12-12,14:45,2024-12-12 08:00,True,,Recon Team,Invalid Quantity detected in Securities Reference for Nippon India MF,System Lag,P1
EXC-2024-0023,Trades,Recon Break,Medium,In Progress,CLT0003,SBI Life Insurance,APAC,2024-11-06,15:44,2024-11-07 00:00,True,2024-11-07,Data Ops,Recon Break detected in Trades for SBI Life Insurance,Vendor Issue,P3
EXC-2024-0024,Trades,KYC Expired,Low,In Progress,CLT0014,Temasek Holdings,APAC,2024-09-14,18:38,2024-09-15 00:00,True,2024-09-15,Client Services,KYC Expired detected in Trades for Temasek Holdings,System Lag,P1
EXC-2024-0025,Trades,Missing Performance,Medium,Open,CLT0004,HDFC Pension Fund,APAC,2025-01-26,09:25,2025-01-26 08:00,True,2025-01-28,Data Ops,Missing Performance detected in Trades for HDFC Pension Fund,Vendor Issue,P3
EXC-2024-0026,Securities Reference,Missing Price,Medium,Open,CLT0006,LIC of India,APAC,2025-04-26,18:04,2025-04-26 04:00,True,2025-04-30,Data Ops,Missing Price detected in Securities Reference for LIC of India,Manual Error,P3
EXC-2024-0027,Share Prices,Duplicate Trade,Low,In Progress,CLT0001,Tata Investment Corp,APAC,2024-07-03,12:50,2024-07-03 08:00,True,2024-07-05,Recon Team,Duplicate Trade detected in Share Prices for Tata Investment Corp,Config Error,P2
EXC-2024-0028,Client Data,Missing Performance,Low,Closed,CLT0013,GIC Private Ltd Singapore,APAC,2024-11-07,18:26,2024-11-08 00:00,True,2024-11-12,Data Ops,Missing Performance detected in Client Data for GIC Private Ltd Singapore,Manual Error,P1
EXC-2024-0029,Positions,Invalid Quantity,Medium,Resolved,CLT0006,LIC of India,APAC,2024-06-24,18:35,2024-06-24 04:00,True,2024-06-26,IT Support,Invalid Quantity detected in Positions for LIC of India,System Lag,P1
EXC-2024-0030,Positions,Stale Data,Low,Open,CLT0013,GIC Private Ltd Singapore,APAC,2024-07-25,17:23,2024-07-26 00:00,True,,Data Ops,Stale Data detected in Positions for GIC Private Ltd Singapore,Feed Failure,P2
EXC-2024-0031,Client Data,Schema Mismatch,Medium,Open,CLT0007,ICICI Prudential AMC,APAC,2024-06-03,09:07,2024-06-04 00:00,True,,Client Services,Schema Mismatch detected in Client Data for ICICI Prudential AMC,System Lag,P3
