position_id,client_id,client_name,security_id,ticker,security_name,position_date,quantity,market_price,market_value,cost_basis,unrealised_pnl,currency,portfolio_id,region,sector,asset_class,custodian,source_system,validated,recon_status,days_since_update
POS-00001,CLT0015,Norges Bank Investment Mgmt,INE467B01029,TCS,Tata Consultancy Services,2025-04-05,11646,3542.58,41256886.68,43001597.05,-1744710.37,INR,PORT-043,EMEA,IT,Equity,Axis Bank Custody,Simcorp,True,Matched,10
POS-00002,CLT0003,SBI Life Insurance,INE075A01022,WIPRO,Wipro Ltd,2024-01-10,51609,524.49,27068404.41,26367061.88,701342.53,INR,PORT-003,APAC,IT,Equity,Axis Bank Custody,Bloomberg AIM,True,Matched,8
POS-00003,CLT0014,Temasek Holdings,INE009A01021,INFY,Infosys Ltd,2024-02-08,156935,1424.27,223517812.45,232522418.5,-9004606.05,INR,PORT-025,APAC,IT,Equity,Citi India,Bloomberg AIM,True,Matched,6
POS-00004,CLT0015,Norges Bank Investment Mgmt,INE040A01034,HDFCBANK,HDFC Bank Ltd,2025-04-02,122508,1618.49,198277972.92,170135417.91,28142555.01,INR,PORT-048,EMEA,Banking,Equity,Deutsche Bank,Simcorp,True,Matched,8
POS-00005,CLT0007,ICICI Prudential AMC,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-04-14,193391,3045.22,588918141.02,566312483.41,22605657.61,INR,PORT-023,APAC,Energy,Equity,Axis Bank Custody,Charles River,False,Matched,1
POS-00006,CLT0012,Vanguard Emerging Markets,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,2024-06-15,49650,1368.1,67926165.0,59153780.49,8772384.51,INR,PORT-037,Americas,Telecom,Equity,Deutsche Bank,In-house,False,Matched,0
POS-00007,CLT0011,BlackRock India Fund,INE066A01021,ONGC,Oil & Natural Gas Corp,2025-04-30,20060,286.75,5752205.0,4827935.92,924269.08,INR,PORT-043,Americas,Energy,Equity,Axis Bank Custody,Bloomberg AIM,True,Matched,0
POS-00008,CLT0014,Temasek Holdings,INE031A01017,POWERGRID,Power Grid Corp of India,2024-01-01,39776,301.99,12011954.24,10883982.28,1127971.96,INR,PORT-013,APAC,Utilities,Equity,Deutsche Bank,In-house,True,Matched,9
POS-00009,CLT0004,HDFC Pension Fund,INE040A01034,HDFCBANK,HDFC Bank Ltd,2025-05-16,101134,1530.99,154835142.66,170478527.88,-15643385.22,INR,PORT-031,APAC,Banking,Equity,Deutsche Bank,Charles River,True,Matched,5
POS-00010,CLT0001,Tata Investment Corp,INE038A01020,HINDALCO,Hindalco Industries Ltd,2025-02-11,184674,595.54,109980753.96,106087874.05,3892879.91,INR,PORT-010,APAC,Metals,Equity,Citi India,In-house,True,Matched,4
POS-00011,CLT0009,Emirates NBD Asset Mgmt,INE213A01029,MARUTI,Maruti Suzuki India Ltd,2024-05-17,63720,13179.87,839821316.4,694160857.16,145660459.24,INR,PORT-002,EMEA,Auto,Equity,Axis Bank Custody,Simcorp,True,Break,5
POS-00012,CLT0009,Emirates NBD Asset Mgmt,INE066A01021,ONGC,Oil & Natural Gas Corp,2025-01-02,188354,279.48,52641175.92,47178824.29,5462351.63,INR,PORT-048,EMEA,Energy,Equity,Deutsche Bank,Charles River,True,Matched,10
POS-00013,CLT0001,Tata Investment Corp,INE018A01030,LARSEN,Larsen & Toubro Ltd,2024-01-02,37316,3440.93,128401743.88,142401683.14,-13999939.26,INR,PORT-007,APAC,Infrastructure,Equity,HDFC Bank Custody,In-house,True,Break,1
POS-00014,CLT0013,GIC Private Ltd Singapore,INE020B01018,NTPC,NTPC Ltd,2025-05-11,92003,326.33,30023338.99,34241502.14,-4218163.15,INR,PORT-048,APAC,Utilities,Equity,Axis Bank Custody,In-house,True,Matched,10
POS-00015,CLT0013,GIC Private Ltd Singapore,INE066A01021,ONGC,Oil & Natural Gas Corp,2024-02-18,5978,258.15,1543220.7,1580972.74,-37752.04,INR,PORT-043,APAC,Energy,Equity,Axis Bank Custody,Simcorp,False,Matched,10
