security_id,isin,ticker,security_name,asset_class,sector,currency,exchange,country,inception_date,status,last_updated,days_since_update,data_source,region
INE002A01018,INE002A01018,RELIANCE,Reliance Industries Ltd,Equity,Energy,INR,NSE,India,2000-01-01,Active,2025-04-24,32,Refinitiv,APAC
INE002A01018,INE002A01018,RELIANCE,Reliance Industries Ltd,Equity,Energy,INR,NSE,India,2000-01-01,Active,2024-08-11,288,Bloomberg,Americas
INE002A01018,,RELIANCE,Reliance Industries Ltd,Equity,,INR,NSE,India,2000-01-01,Active,2025-01-03,143,Refinitiv,Americas
INE002A01018,,RELIANCE,Reliance Industries Ltd,Equity,,INR,NSE,India,2000-01-01,Active,2025-04-05,51,Manual,APAC
INE002A01018,INE002A01018,RELIANCE,Reliance Industries Ltd,Equity,Energy,INR,NSE,India,2000-01-01,Active,2025-01-16,130,Bloomberg,APAC
INE002A01018,INE002A01018,RELIANCE,Reliance Industries Ltd,Equity,Energy,INR,NSE,India,2000-01-01,Active,2025-05-24,2,Refinitiv,EMEA
INE002A01018,INE002A01018,RELIANCE,Reliance Industries Ltd,Equity,Energy,INR,NSE,India,2000-01-01,Active,2024-07-23,307,NSE Feed,Americas
INE002A01018,INE002A01018,RELIANCE,Reliance Industries Ltd,Equity,Energy,INR,NSE,India,2000-01-01,Active,2024-10-14,224,Bloomberg,EMEA
INE002A01018,INE002A01018,RELIANCE,Reliance Industries Ltd,Equity,Energy,INR,NSE,India,2000-01-01,Active,2024-07-11,319,NSE Feed,Americas
INE002A01018,INE002A01018,RELIANCE,Reliance Industries Ltd,Equity,Energy,INR,NSE,India,2000-01-01,Active,2024-09-07,261,Refinitiv,EMEA
INE002A01018,INE002A01018,RELIANCE,Reliance Industries Ltd,Equity,Energy,INR,NSE,India,2000-01-01,Active,2024-07-11,319,Manual,EMEA
INE002A01018,INE002A01018,RELIANCE,Reliance Industries Ltd,Equity,Energy,INR,NSE,India,2000-01-01,Active,2025-01-19,127,NSE Feed,EMEA
INE002A01018,INE002A01018,RELIANCE,Reliance Industries Ltd,Equity,Energy,INR,NSE,India,2000-01-01,Active,2024-09-16,252,Bloomberg,Americas
