trade_id,client_id,client_name,security_id,ticker,security_name,trade_type,quantity,trade_price,trade_value,currency,trade_date,settlement_date,broker,portfolio_id,region,status,is_duplicate,validated,exception_flag
TRD-2024-00001,CLT0010,Abu Dhabi Investment Auth,INE213A01029,MARUTI,Maruti Suzuki India Ltd,BUY,30288.0,13335.32,403900172.16,INR,2024-12-21,2024-12-23,Nomura India,PORT-038,EMEA,Pending,False,True,False
TRD-2024-00002,CLT0003,SBI Life Insurance,INE020B01018,NTPC,NTPC Ltd,BUY,48231.0,366.32,17667979.92,INR,2025-01-01,2025-01-03,Nomura India,PORT-025,APAC,Settled,False,True,False
TRD-2024-00003,CLT0004,HDFC Pension Fund,INE075A01022,WIPRO,Wipro Ltd,SELL,37766.0,537.13,20285251.58,INR,2024-03-11,2024-03-13,Motilal Oswal,PORT-040,APAC,Settled,False,False,False
TRD-2024-00004,CLT0008,Nippon India MF,INE585B01010,AXISBANK,Axis Bank Ltd,SELL,,,,INR,2024-11-21,2024-11-23,,PORT-048,APAC,Settled,False,True,True
TRD-2024-00005,CLT0005,Kotak Mahindra AMC,INE090A01021,ICICIBANK,ICICI Bank Ltd,SELL,9453.0,1272.84,12032156.52,INR,2024-07-29,2024-07-31,ICICI Direct,PORT-049,APAC,Settled,False,True,False
TRD-2024-00006,CLT0006,LIC of India,INE361B01024,HCLTECH,HCL Technologies Ltd,SELL,20219.0,1609.39,32540256.41,INR,2024-09-11,2024-09-13,Motilal Oswal,PORT-026,APAC,Settled,False,True,False
TRD-2024-00007,CLT0008,Nippon India MF,INE038A01020,HINDALCO,Hindalco Industries Ltd,SELL,7475.0,654.12,4889547.0,INR,2024-05-04,2024-05-06,Edelweiss,PORT-014,APAC,Settled,False,True,False
TRD-2024-00008,CLT0001,Tata Investment Corp,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,SELL,38391.0,1394.68,53543159.88,INR,2024-05-15,2024-05-17,HDFC Securities,PORT-043,APAC,Settled,False,True,False
TRD-2024-00009,CLT0001,Tata Investment Corp,INE075A01022,WIPRO,Wipro Ltd,BUY,2157.0,502.53,1083957.21,INR,2024-03-12,2024-03-14,Nomura India,PORT-026,APAC,Settled,False,True,False
TRD-2024-00010,CLT0013,GIC Private Ltd Singapore,INE075A01022,WIPRO,Wipro Ltd,SELL,35138.0,537.35,18881404.3,INR,2024-07-02,2024-07-04,Zerodha Institutional,PORT-001,APAC,Settled,False,True,False
TRD-2024-00011,CLT0004,HDFC Pension Fund,INE040A01034,HDFCBANK,HDFC Bank Ltd,SELL,31718.0,1588.43,50381822.74,INR,2025-02-21,2025-02-23,Goldman Sachs India,PORT-017,APAC,Pending,False,True,False
TRD-2024-00012,CLT0015,Norges Bank Investment Mgmt,INE585B01010,AXISBANK,Axis Bank Ltd,BUY,9889.0,1094.67,10825191.63,INR,2024-08-16,2024-08-18,Kotak Securities,PORT-004,EMEA,Settled,False,True,False
TRD-2024-00013,CLT0011,BlackRock India Fund,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,BUY,38908.0,1444.02,56183930.16,INR,2025-02-02,2025-02-04,Zerodha Institutional,PORT-002,Americas,Pending,False,True,True
TRD-2024-00014,CLT0005,Kotak Mahindra AMC,INE090A01021,ICICIBANK,ICICI Bank Ltd,BUY,28822.0,1299.36,37450153.92,INR,2024-12-06,2024-12-08,Nomura India,PORT-029,APAC,Settled,False,True,False
TRD-2024-00015,CLT0013,GIC Private Ltd Singapore,INE002A01018,RELIANCE,Reliance Industries Ltd,BUY,34887.0,2842.05,99150598.35,INR,2024-07-31,2024-08-02,Kotak Securities,PORT-002,APAC,Settled,False,True,False
TRD-2024-00016,CLT0005,Kotak Mahindra AMC,INE467B01029,TCS,Tata Consultancy Services,BUY,15233.0,3830.38,58348178.54,INR,2024-05-31,2024-06-02,HDFC Securities,PORT-039,APAC,Settled,False,True,False
TRD-2024-00017,CLT0003,SBI Life Insurance,INE213A01029,MARUTI,Maruti Suzuki India Ltd,SELL,,12370.99,,INR,2025-04-26,2025-04-28,,PORT-050,APAC,Settled,False,True,False
TRD-2024-00018,CLT0014,Temasek Holdings,INE020B01018,NTPC,NTPC Ltd,BUY,20771.0,375.57,7800964.47,INR,2025-01-28,2025-01-30,HDFC Securities,PORT-008,APAC,Settled,False,True,False
TRD-2024-00019,CLT0007,ICICI Prudential AMC,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,SELL,2026.0,1639.45,3321525.7,INR,2024-06-06,2024-06-08,Motilal Oswal,PORT-035,APAC,Settled,False,True,False
TRD-2024-00020,CLT0009,Emirates NBD Asset Mgmt,INE213A01029,MARUTI,Maruti Suzuki India Ltd,SELL,11288.0,12283.38,138654793.44,INR,2025-02-25,2025-02-27,Zerodha Institutional,PORT-021,EMEA,Settled,False,False,False
TRD-2024-00021,CLT0010,Abu Dhabi Investment Auth,INE066A01021,ONGC,Oil & Natural Gas Corp,BUY,6760.0,260.99,1764292.4,INR,2025-02-28,2025-03-02,Kotak Securities,PORT-001,EMEA,Settled,False,True,False
TRD-2024-00022,CLT0008,Nippon India MF,INE009A01021,INFY,Infosys Ltd,SELL,15620.0,1542.62,24095724.4,INR,2024-11-23,2024-11-25,Goldman Sachs India,PORT-011,APAC,Settled,False,True,False
TRD-2024-00023,CLT0006,LIC of India,INE018A01030,LARSEN,Larsen & Toubro Ltd,SELL,36517.0,3584.66,130901029.22,INR,2024-12-11,2024-12-13,HDFC Securities,PORT-012,APAC,Settled,False,True,False
TRD-2024-00024,CLT0006,LIC of India,INE001A01036,SBIN,State Bank of India,BUY,26712.0,750.02,20034534.24,INR,2024-09-14,2024-09-16,ICICI Direct,PORT-029,APAC,Settled,False,True,False
TRD-2024-00025,CLT0005,Kotak Mahindra AMC,INE040A01034,HDFCBANK,HDFC Bank Ltd,SELL,20318.0,1636.08,33241873.44,INR,2024-05-12,2024-05-14,Motilal Oswal,PORT-031,APAC,Settled,False,True,False
TRD-2024-00026,CLT0002,Aditya Birla Capital,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,SELL,34763.0,1718.94,59755511.22,INR,2025-03-12,2025-03-14,Goldman Sachs India,PORT-008,APAC,Settled,False,True,False
TRD-2024-00027,CLT0006,LIC of India,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,SELL,19065.0,7346.66,140064072.9,INR,2024-11-04,2024-11-06,Zerodha Institutional,PORT-032,APAC,Settled,False,True,False
TRD-2024-00028,CLT0009,Emirates NBD Asset Mgmt,INE213A01029,MARUTI,Maruti Suzuki India Ltd,BUY,4598.0,13041.13,59963115.74,INR,2024-05-02,2024-05-04,HDFC Securities,PORT-028,EMEA,Failed,False,True,False
TRD-2024-00029,CLT0004,HDFC Pension Fund,INE361B01024,HCLTECH,HCL Technologies Ltd,BUY,23209.0,1626.52,37749902.68,INR,2024-09-02,2024-09-04,Kotak Securities,PORT-019,APAC,Pending,False,True,True
TRD-2024-00030,CLT0011,BlackRock India Fund,INE075A01022,WIPRO,Wipro Ltd,BUY,29274.0,529.96,15514049.04,INR,2024-07-28,2024-07-30,Zerodha Institutional,PORT-021,Americas,Settled,False,True,False
TRD-2024-00031,CLT0005,Kotak Mahindra AMC,INE467B01029,TCS,Tata Consultancy Services,BUY,23446.0,3890.54,91217600.84,INR,2024-09-01,2024-09-03,Nomura India,PORT-032,APAC,Settled,False,True,False
TRD-2024-00032,CLT0004,HDFC Pension Fund,INE031A01017,POWERGRID,Power Grid Corp of India,SELL,38690.0,328.61,12713920.9,INR,2025-05-20,2025-05-22,Nomura India,PORT-009,APAC,Settled,False,False,False
TRD-2024-00033,CLT0013,GIC Private Ltd Singapore,INE213A01029,MARUTI,Maruti Suzuki India Ltd,SELL,22477.0,12227.4,274835269.8,INR,2024-10-27,2024-10-29,Kotak Securities,PORT-045,APAC,Settled,False,True,False
TRD-2024-00034,CLT0012,Vanguard Emerging Markets,INE585B01010,AXISBANK,Axis Bank Ltd,BUY,34918.0,1092.62,38152105.16,INR,2025-03-02,2025-03-04,Edelweiss,PORT-011,Americas,Settled,False,True,False
